IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.80.93,4,4,0.00,2.96,0.65
172.64.93.52,4,3,0.25,3.95,0.56
104.19.20.77,4,4,0.00,3.67,0.50
172.67.237.249,4,4,0.00,3.51,0.48
172.67.183.135,4,4,0.00,3.20,0.45
172.67.128.216,4,4,0.00,2.46,0.34
172.67.32.0,4,4,0.00,4.25,0.29
104.18.244.192,4,4,0.00,4.07,0.28
172.67.155.196,4,3,0.25,4.15,0.00
172.67.26.117,4,3,0.25,4.24,0.00
